"","AgentNo","Perceived_Support","Vulnerability_Group","Distress","MDD_onset","Appropriate_Received_support_count","Inappropriate_Received_support_count"
"271",271,1.91273595206439,"H",0,"",0,0
"272",272,7.25831001298502,"H",0,"",0,0
"273",273,4.34273636667058,"H",0,"",0,0
"274",274,7.79365201247856,"H",0,"",0,0
"275",275,2.27102741366252,"H",0,"",0,0
"276",276,7.52399670425802,"H",0,"",0,0
"277",277,1.9037205609493,"H",0,"",0,0
"278",278,2.50420623691753,"H",0,"",0,0
"279",279,2.60353734716773,"H",0,"",0,0
"280",280,6.83831058442593,"H",0,"",0,0
"281",281,2.6403905521147,"H",0,"",0,0
"282",282,0.40347628062591,"H",0,"",0,0
"283",283,3.71251721400768,"H",0,"",0,0
"284",284,4.59145107539371,"H",0,"",0,0
"285",285,2.35662336694077,"H",0,"",0,0
"286",286,6.22740593040362,"H",0,"",0,0
"287",287,1.10283242771402,"H",0,"",0,0
"288",288,9.14671442937106,"H",0,"",0,0
"289",289,6.64407593896613,"H",0,"",0,0
"290",290,1.28824563929811,"H",0,"",0,0
"291",291,4.7674408997409,"H",0,"",0,0
"292",292,8.68796247756109,"H",0,"",0,0
"293",293,9.47581188287586,"H",0,"",0,0
"294",294,4.25805977312848,"H",0,"",0,0
"295",295,4.73762508481741,"H",0,"",0,0
"296",296,9.97374021681026,"H",0,"",0,0
"297",297,7.23411499755457,"H",0,"",0,0
"298",298,0.879791732877493,"H",0,"",0,0
"299",299,9.56263896543533,"H",0,"",0,0
"300",300,1.26868836581707,"H",0,"",0,0
